,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,Inhambane,96,MZ,1579841040,73,-23.86,35.38,78.31,14.34
364,Waingapu,28,ID,1579841217,69,-9.66,120.26,84.22,7.47
366,Cidreira,36,BR,1579841050,74,-30.18,-50.21,73.83,17.36
368,Rengo,100,CL,1579841219,64,-34.42,-70.87,69.8,3.36
376,Cacapava,75,BR,1579841168,93,-23.1,-45.71,66.2,2.24
383,Kruisfontein,0,ZA,1579840948,71,-34.0,24.73,68.27,9.28
385,Mossamedes,98,AO,1579841063,76,-15.2,12.15,74.05,7.43
391,Souillac,75,MU,1579841021,88,-20.52,57.52,78.04,4.7
398,Saint-Pierre,98,RE,1579841005,88,-21.34,55.48,77.2,9.17
401,Ilo,98,PE,1579841230,92,-17.64,-71.34,71.37,5.7
402,Mudgee,75,AU,1579841231,58,-32.59,149.59,85.35,9.17
408,Kiama,90,AU,1579841233,65,-34.68,150.87,76.08,14.99
413,Ballina,96,AU,1579841235,66,-28.87,153.57,92.1,17.22
423,Ulladulla,90,AU,1579841238,65,-35.35,150.47,78.69,14.99
426,Anajatuba,99,BR,1579841239,98,-3.26,-44.62,73.54,2.26
430,Antalaha,100,MG,1579841241,74,-14.9,50.28,82.35,3.29
431,Domoni,76,KM,1579841241,72,-12.26,44.53,83.71,12.62
433,Moron,1,AR,1579841242,94,-34.65,-58.62,75.54,3.36
438,Ahipara,4,NZ,1579841115,86,-35.17,173.17,69.82,10.4
443,Ivaipora,40,BR,1579841165,82,-24.25,-51.68,63.19,6.31
444,Namatanai,6,PG,1579841092,72,-3.67,152.43,85.26,12.37
448,Kaeo,3,NZ,1579841100,59,-35.1,173.78,78.08,7.0
453,Lorengau,3,PG,1579840987,69,-2.02,147.27,84.33,8.48
454,Mporokoso,100,ZM,1579841249,97,-9.37,30.12,64.89,5.32
455,Kilindoni,99,TZ,1579841249,81,-7.91,39.67,81.0,3.87
466,Nelson Bay,40,AU,1579841253,65,-32.72,152.15,81.27,17.22
467,Santa Isabel do Rio Negro,3,BR,1579841254,89,-0.41,-65.02,74.52,0.89
473,Sao Francisco de Assis,0,BR,1579841257,93,-29.55,-55.13,62.8,8.59
474,Taltal,10,CL,1579841085,81,-25.4,-70.48,66.54,3.58
481,Ambilobe,100,MG,1579841063,85,-13.2,49.05,81.01,9.93
482,Varzelandia,100,BR,1579841260,99,-15.7,-44.03,67.71,8.16
483,Santa Maria,0,BR,1579841078,98,-29.68,-53.81,60.67,5.01
485,Beloha,3,MG,1579841119,52,-25.17,45.05,79.72,13.71
487,Kawambwa,100,ZM,1579841262,94,-9.79,29.08,68.23,4.09
492,Alta Floresta,100,BR,1579841263,99,-9.88,-56.09,71.04,3.8
495,Challapata,100,BO,1579841264,76,-18.9,-66.77,52.39,8.25
503,Airai,54,TL,1579841054,76,-8.93,125.41,76.51,2.64
513,Kamina,100,CD,1579841271,92,-8.74,24.99,69.53,0.38
514,Metro,99,ID,1579841196,68,-5.11,105.31,88.41,8.72
517,Pisco,90,PE,1579841009,78,-13.7,-76.22,76.1,2.24
521,Quirinopolis,71,BR,1579841273,96,-18.45,-50.45,69.8,6.62
524,Amarante do Maranhao,89,BR,1579841275,98,-5.57,-46.74,70.29,2.91
525,Te Anau,99,NZ,1579841275,80,-45.42,167.72,61.99,6.64
526,Santa Vitoria do Palmar,0,BR,1579841197,86,-33.52,-53.37,66.49,6.35
527,Juan de Ayolas,0,PY,1579841276,75,-27.4,-56.9,69.91,7.27
529,Mangai,99,CD,1579841276,72,-4.05,19.53,73.94,0.4
533,Lucapa,100,AO,1579841278,93,-8.42,20.74,69.64,2.01
534,Necochea,70,AR,1579841056,74,-38.55,-58.74,74.55,7.0
537,Maragogi,100,BR,1579840980,80,-9.01,-35.22,81.34,13.09
539,Tinyahuarco,95,PE,1579841280,96,-10.75,-76.3,35.51,4.21
542,Yeppoon,75,AU,1579841113,88,-23.13,150.73,80.6,2.24
